gene,DEMO_CELL_001,DEMO_CELL_002,DEMO_CELL_003,DEMO_CELL_004,DEMO_CELL_005,DEMO_CELL_006,DEMO_CELL_007,DEMO_CELL_008,DEMO_CELL_009,DEMO_CELL_010,DEMO_CELL_011,DEMO_CELL_012,DEMO_CELL_013,DEMO_CELL_014,DEMO_CELL_015,DEMO_CELL_016,DEMO_CELL_017,DEMO_CELL_018,DEMO_CELL_019,DEMO_CELL_020,DEMO_CELL_021,DEMO_CELL_022,DEMO_CELL_023,DEMO_CELL_024,DEMO_CELL_025,DEMO_CELL_026,DEMO_CELL_027,DEMO_CELL_028,DEMO_CELL_029,DEMO_CELL_030,DEMO_CELL_031,DEMO_CELL_032,DEMO_CELL_033,DEMO_CELL_034,DEMO_CELL_035,DEMO_CELL_036,DEMO_CELL_037,DEMO_CELL_038,DEMO_CELL_039,DEMO_CELL_040,DEMO_CELL_041,DEMO_CELL_042,DEMO_CELL_043,DEMO_CELL_044,DEMO_CELL_045,DEMO_CELL_046,DEMO_CELL_047,DEMO_CELL_048,DEMO_CELL_049,DEMO_CELL_050,DEMO_CELL_051,DEMO_CELL_052,DEMO_CELL_053,DEMO_CELL_054,DEMO_CELL_055,DEMO_CELL_056,DEMO_CELL_057,DEMO_CELL_058,DEMO_CELL_059,DEMO_CELL_060,DEMO_CELL_061,DEMO_CELL_062,DEMO_CELL_063,DEMO_CELL_064,DEMO_CELL_065,DEMO_CELL_066,DEMO_CELL_067,DEMO_CELL_068,DEMO_CELL_069,DEMO_CELL_070,DEMO_CELL_071,DEMO_CELL_072,DEMO_CELL_073,DEMO_CELL_074,DEMO_CELL_075,DEMO_CELL_076,DEMO_CELL_077,DEMO_CELL_078,DEMO_CELL_079,DEMO_CELL_080,DEMO_CELL_081,DEMO_CELL_082,DEMO_CELL_083,DEMO_CELL_084,DEMO_CELL_085,DEMO_CELL_086,DEMO_CELL_087,DEMO_CELL_088,DEMO_CELL_089,DEMO_CELL_090,DEMO_CELL_091,DEMO_CELL_092,DEMO_CELL_093,DEMO_CELL_094,DEMO_CELL_095,DEMO_CELL_096,DEMO_CELL_097,DEMO_CELL_098,DEMO_CELL_099,DEMO_CELL_100,DEMO_CELL_101,DEMO_CELL_102,DEMO_CELL_103,DEMO_CELL_104,DEMO_CELL_105,DEMO_CELL_106,DEMO_CELL_107,DEMO_CELL_108,DEMO_CELL_109,DEMO_CELL_110,DEMO_CELL_111,DEMO_CELL_112,DEMO_CELL_113,DEMO_CELL_114,DEMO_CELL_115,DEMO_CELL_116,DEMO_CELL_117,DEMO_CELL_118,DEMO_CELL_119,DEMO_CELL_120
SIMGENE0096,1,5,8,14,2,6,7,5,5,17,7,2,11,6,6,5,2,15,5,6,5,6,5,8,11,7,17,2,15,16,4,12,8,4,9,8,10,5,8,6,16,18,10,3,5,8,5,21,28,16,4,32,9,1,17,7,17,24,5,3,12,8,12,5,12,4,20,16,5,19,9,2,0,15,11,11,9,8,24,28,7,3,10,3,21,3,4,2,20,1,10,15,12,15,10,11,7,18,32,10,9,9,1,2,6,12,11,13,5,5,6,1,8,6,10,12,5,26,10,10
SIMGENE0097,8,12,8,28,6,5,5,2,10,10,12,5,8,5,2,4,2,15,7,4,1,10,3,13,3,4,11,13,6,4,7,4,5,15,7,12,6,2,4,12,44,20,2,21,9,8,8,8,2,6,1,20,13,4,3,13,7,21,13,10,6,12,12,5,1,3,5,3,5,11,12,10,3,6,5,2,2,14,8,3,23,6,2,17,3,20,2,10,10,3,9,8,9,10,18,7,8,5,9,19,10,8,6,1,17,7,3,16,4,4,8,2,2,2,7,4,8,8,15,10
SIMGENE0098,0,1,0,2,0,1,1,0,2,1,2,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,3,1,1,0,2,1,1,2,1,1,0,2,0,0,1,0,2,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,2,2,2,1,1,1,1,2,3,1,1,0,1,2,2,7,1,0,0,1,1,1,0,1,2,0,0,1,1,0,2,1,0,0,1,0,2,2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2,0
SIMGENE0099,8,12,3,16,10,7,2,6,22,5,26,4,17,4,4,8,14,11,24,5,6,4,6,15,4,6,14,13,5,4,6,2,1,5,4,9,3,5,1,5,2,9,5,7,5,3,5,9,13,10,4,2,3,14,5,2,8,10,5,6,4,11,10,2,1,9,5,2,7,9,29,3,6,16,19,20,8,9,9,2,9,2,14,3,0,1,3,8,9,15,9,6,4,5,0,3,9,13,5,5,10,4,1,14,6,18,5,9,12,11,8,3,4,8,1,2,9,8,3,3
SIMGENE0100,24,11,8,22,5,13,39,11,7,13,10,23,34,12,1,8,2,29,23,1,5,10,1,14,24,17,5,2,16,7,3,29,8,7,8,9,2,5,17,10,2,21,9,1,16,26,7,24,32,16,7,12,3,32,21,16,5,8,20,3,23,8,11,13,32,3,4,6,5,12,3,11,11,5,15,12,16,14,3,7,5,5,9,5,10,7,12,5,0,5,15,3,8,8,12,20,6,6,4,5,14,14,10,27,7,27,29,10,8,17,21,10,12,15,21,15,1,7,15,22
SIMGENE0101,2,1,2,1,1,2,1,0,0,2,1,1,2,0,2,1,2,2,0,4,4,1,3,3,1,1,1,3,0,2,2,1,1,1,1,2,1,5,5,4,1,2,1,1,1,1,1,2,1,0,0,2,1,1,0,1,2,1,0,1,2,2,2,1,2,1,2,0,1,1,5,1,1,2,1,2,3,1,0,0,2,2,1,2,0,1,4,0,3,1,1,1,0,1,3,1,2,1,2,1,1,2,1,1,2,1,2,1,1,0,2,1,5,3,5,1,1,1,2,2
SIMGENE0102,0,1,2,1,1,1,1,1,1,3,3,1,0,1,2,2,1,1,2,4,1,3,0,1,0,1,1,2,1,1,9,1,0,3,2,0,2,3,1,1,0,4,1,3,3,0,1,2,1,2,2,1,1,1,1,2,0,1,0,1,1,4,0,5,5,1,3,3,4,3,0,3,3,1,2,1,4,2,0,3,2,1,1,1,2,1,4,2,2,4,2,4,3,3,7,2,3,2,1,6,6,1,0,0,3,4,1,1,1,1,2,2,3,2,2,1,2,2,2,1
SIMGENE0103,1,2,0,2,3,0,5,1,1,3,3,5,3,6,2,7,4,1,2,8,4,1,2,8,2,1,2,6,1,3,2,2,3,3,1,3,4,3,0,0,2,6,2,1,1,5,4,0,5,4,5,6,1,1,2,2,4,1,5,4,2,2,1,1,3,1,1,3,2,2,1,5,2,4,3,5,2,2,1,3,8,8,2,6,0,3,1,1,6,9,2,4,1,1,1,4,3,1,9,5,4,3,5,1,2,4,14,6,5,5,1,4,2,2,3,8,3,3,5,3
SIMGENE0104,4,10,8,1,5,12,0,4,3,11,9,1,2,5,4,3,7,5,2,5,5,6,4,6,6,11,6,1,7,13,4,7,10,6,4,6,15,1,2,8,3,1,5,4,5,1,2,1,5,5,2,4,1,8,5,4,2,6,1,12,6,3,7,11,4,4,12,1,4,4,3,8,7,8,1,5,3,3,9,4,3,1,4,8,6,1,11,4,4,5,6,3,12,11,12,16,11,5,2,5,6,16,3,8,4,12,5,10,3,7,3,7,7,1,5,6,14,0,10,4
SIMGENE0105,10,3,10,11,9,4,10,13,3,6,11,1,11,3,20,8,11,2,4,7,17,6,4,6,2,5,10,7,22,3,6,15,10,10,4,5,7,3,1,15,3,1,5,4,17,7,5,3,2,2,3,1,2,8,3,15,9,4,7,4,5,7,2,7,1,0,1,12,10,7,5,2,2,6,5,5,8,4,7,7,24,13,5,11,4,6,3,12,11,5,6,8,9,3,10,7,8,3,13,11,3,16,12,5,7,5,8,13,3,9,12,21,3,4,8,4,7,5,1,3
SIMGENE0106,13,3,8,9,12,1,15,7,6,18,16,5,3,6,7,8,7,12,5,4,9,7,8,21,17,6,24,8,9,3,13,38,8,13,35,7,39,6,9,21,17,28,5,15,4,25,4,6,2,10,18,2,4,2,7,12,6,5,0,20,9,9,19,13,14,3,4,12,14,24,33,18,13,8,7,36,11,25,52,21,2,15,9,2,6,14,3,6,16,4,13,4,9,10,3,3,3,10,10,15,4,4,7,12,8,11,8,7,9,8,9,3,31,13,12,3,11,4,4,15
SIMGENE0107,16,16,1,5,13,20,20,6,7,4,20,9,2,2,2,24,7,5,6,17,4,7,12,2,5,1,7,6,13,5,3,2,1,1,8,1,1,6,7,1,2,8,5,8,15,11,14,15,13,16,6,7,3,20,8,3,3,10,18,7,3,3,11,19,2,2,9,3,0,16,3,5,3,4,1,17,3,3,3,2,7,14,2,9,33,5,6,9,14,15,8,2,8,3,10,10,6,8,9,3,13,21,7,10,3,6,6,3,7,10,15,7,6,10,15,21,10,8,3,16
SIMGENE0108,1,5,5,8,3,2,5,6,12,4,4,3,2,4,3,16,1,6,5,7,5,3,0,6,5,4,4,3,7,1,4,2,5,3,0,5,3,4,3,2,2,1,3,1,2,1,6,5,1,4,2,4,7,4,1,2,5,6,4,1,3,5,17,9,2,4,13,5,14,3,4,1,6,17,7,7,5,1,16,15,1,3,5,5,2,8,3,5,4,6,3,0,3,19,2,5,4,2,6,3,3,9,0,4,2,2,28,2,2,6,3,2,8,3,7,11,6,1,3,2
SIMGENE0109,9,20,23,7,11,18,10,19,6,3,5,2,10,5,2,5,12,27,13,9,7,11,7,4,25,16,7,4,2,5,3,17,7,2,4,16,14,3,12,18,6,9,9,9,13,9,11,11,5,19,11,6,11,14,10,9,5,12,3,5,14,2,13,16,33,8,2,1,8,16,8,2,12,13,13,4,3,9,2,5,14,1,13,16,5,16,10,19,3,4,25,12,11,1,7,8,10,9,7,21,0,1,3,7,3,7,12,7,7,17,15,2,8,0,3,7,6,3,8,11
SIMGENE0110,3,2,4,0,0,0,3,2,1,2,2,2,2,1,1,0,3,3,1,2,1,2,1,4,3,2,4,3,1,7,4,1,2,3,3,0,5,1,0,1,2,2,6,1,10,2,1,1,2,1,2,3,3,2,0,1,7,3,2,5,1,1,1,2,2,3,2,2,2,3,4,1,1,4,3,2,1,2,5,2,1,2,1,0,4,3,2,1,2,7,3,5,2,3,2,3,4,5,8,3,2,3,3,1,1,3,3,2,1,0,3,2,2,2,3,1,1,1,4,3
SIMGENE0111,2,31,4,3,5,5,11,9,10,5,14,13,17,8,5,4,11,22,1,13,12,4,4,13,8,14,4,22,11,8,5,3,6,14,24,9,4,7,9,19,6,18,53,1,32,4,29,2,4,9,20,26,3,16,13,17,12,4,6,4,1,20,6,21,10,5,5,30,10,16,10,0,6,11,8,7,4,6,3,12,11,9,39,4,24,5,9,14,8,3,23,6,9,25,4,41,30,6,61,24,37,11,4,19,12,17,9,7,18,7,6,5,6,4,2,45,1,1,13,12
SIMGENE0112,2,1,2,7,5,9,11,4,11,4,2,3,3,4,5,4,2,5,3,3,6,2,2,1,9,6,3,2,7,11,1,9,3,9,5,5,5,1,8,6,2,7,2,5,7,11,3,4,1,7,16,9,8,10,0,4,0,16,1,1,4,3,2,5,12,13,7,2,8,10,3,14,15,4,17,12,2,3,11,18,7,2,1,7,4,6,1,10,4,5,1,4,1,8,2,5,5,3,5,3,3,4,12,8,18,7,8,6,2,8,14,9,13,2,12,12,7,21,16,9
SIMGENE0113,2,6,8,5,22,7,7,9,5,2,4,4,3,2,2,7,4,3,4,1,7,6,4,6,8,3,5,8,4,3,4,3,8,5,5,6,7,8,8,11,7,4,14,11,3,23,7,3,12,6,36,9,7,1,19,15,16,15,12,6,3,7,9,2,15,11,6,2,11,5,4,2,1,11,6,4,1,13,3,17,10,3,4,9,8,3,17,18,30,19,6,5,10,3,5,2,2,11,3,5,12,3,10,9,5,7,8,9,5,5,9,4,10,5,2,8,2,3,4,4
SIMGENE0114,1,7,3,2,2,3,1,2,4,1,3,1,1,2,1,1,1,1,1,0,3,2,2,2,2,2,1,1,1,4,6,1,0,4,0,2,1,0,4,1,1,1,1,1,1,1,0,0,0,0,2,1,1,0,2,2,1,1,1,2,1,6,4,2,2,4,1,3,2,1,2,2,2,0,2,1,4,1,4,2,8,2,7,10,1,2,1,2,1,2,4,0,1,2,6,1,3,2,2,1,2,1,1,1,4,3,3,2,3,1,1,1,1,1,3,1,0,1,0,1
SIMGENE0115,8,15,8,8,4,1,4,12,5,1,14,6,12,2,3,16,6,8,5,9,16,3,22,10,9,8,4,2,33,6,10,17,5,17,4,8,9,10,17,8,3,14,15,7,2,13,2,9,15,12,2,9,7,11,1,6,5,6,2,13,5,11,10,15,3,3,18,4,5,5,5,16,9,3,2,4,6,9,6,7,14,8,10,2,9,4,3,7,2,33,2,7,10,8,15,11,5,7,8,8,9,5,4,8,17,5,2,12,3,3,3,5,13,3,3,4,1,7,2,7
SIMGENE0116,2,1,5,0,9,2,1,3,2,2,4,7,7,2,4,1,3,2,6,4,4,0,0,2,1,3,2,1,3,4,2,2,1,6,2,1,3,1,2,5,1,2,5,1,2,6,1,2,2,3,2,6,2,1,4,2,2,2,2,3,1,2,1,2,3,5,5,2,4,2,0,0,6,5,3,1,3,4,3,2,4,2,3,4,3,5,2,4,1,1,1,4,2,4,2,2,1,2,3,4,2,2,6,1,2,2,1,2,2,1,2,1,0,4,1,1,2,1,2,5
SIMGENE0117,0,0,1,1,1,1,0,1,1,1,2,1,0,2,1,1,3,1,1,1,3,2,1,1,0,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,0,1,2,0,2,1,1,0,0,1,0,2,2,1,2,0,2,1,1,1,1,1,0,1,1,1,1,1,1,2,0,1,1,0,1,1,1,3,2,0,1,1,0,0,0,2,3,0,1,1,1,1,0,3,1,1,1,0,1,2,0,1,1,1,1,1,1,2,1,1,1,1,0,2,4,1,0,1
SIMGENE0118,1,1,3,1,0,2,1,4,3,2,1,2,1,0,1,1,2,1,3,2,2,0,3,4,1,2,2,2,1,2,2,3,1,1,2,1,6,1,3,3,0,3,0,1,1,0,1,1,1,0,2,1,1,3,2,1,1,2,1,2,2,2,2,4,3,3,5,5,1,6,5,3,7,0,2,1,1,11,1,3,4,1,1,2,3,1,1,1,6,1,3,5,0,1,0,2,0,3,1,1,3,3,1,2,1,1,0,2,1,3,0,1,1,1,1,1,2,3,4,2
SIMGENE0119,7,7,7,11,13,4,8,3,9,19,29,3,3,10,8,1,13,6,5,8,14,8,5,6,27,13,11,4,13,21,31,4,1,21,22,5,3,10,16,9,12,2,2,6,28,1,13,2,16,2,11,3,0,1,4,10,4,9,9,5,11,1,5,15,9,5,10,31,6,14,10,6,8,17,11,8,10,3,2,8,11,6,11,24,13,16,10,5,5,7,12,8,3,6,17,5,2,18,11,10,16,12,6,5,2,6,4,10,5,5,8,10,4,5,4,3,7,10,15,3
SIMGENE0120,1,2,1,1,1,0,1,0,0,2,0,1,1,1,0,1,1,1,1,0,1,1,0,2,1,2,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,2,1,1,1,1,0,0,0,0,0,1,3,1,1,1,0,1,0,0,1,0,0,1,0,2,1,0,1,0,1,1,1,0,0,1,0
SIMGENE0121,3,13,1,3,11,3,16,3,7,5,5,3,3,4,5,9,4,4,8,1,5,8,8,6,4,7,13,18,6,1,3,18,15,3,1,12,6,3,1,11,4,5,9,3,3,5,4,5,4,3,1,5,1,1,4,2,6,8,14,2,3,2,4,2,3,1,5,4,6,3,0,4,2,8,8,1,10,3,5,6,17,5,9,11,4,3,4,13,6,4,10,5,2,1,14,2,2,6,8,6,4,3,7,8,10,8,11,2,5,3,6,8,3,3,15,3,10,3,3,1
SIMGENE0122,3,3,2,5,1,2,2,0,6,6,5,3,1,1,4,2,5,1,1,1,2,1,2,2,2,5,2,3,1,2,2,2,9,1,7,4,5,1,10,3,2,1,2,2,3,2,6,4,3,2,1,3,1,1,1,2,0,0,2,2,1,9,1,2,5,8,3,2,3,3,2,6,5,2,1,2,1,4,4,3,3,4,1,1,2,0,1,1,1,2,6,1,1,2,2,0,2,2,3,7,3,5,3,3,1,6,1,1,1,0,1,1,6,4,4,1,2,1,8,1
SIMGENE0123,4,7,8,0,6,7,24,3,11,14,14,8,16,5,3,6,2,16,14,5,6,5,2,8,2,4,5,10,11,10,6,3,2,11,4,5,9,11,5,21,3,1,9,9,6,8,4,18,5,12,2,7,17,6,23,2,14,5,8,3,2,6,2,16,6,2,4,8,13,4,10,4,9,4,4,7,2,4,11,8,3,6,12,7,2,13,8,7,5,3,17,28,8,1,13,6,10,6,15,17,17,1,28,28,16,3,4,6,14,2,4,5,5,15,5,17,3,6,13,13
SIMGENE0124,6,5,5,13,4,5,5,10,13,3,3,11,12,2,4,5,14,6,1,6,1,28,29,14,14,19,9,7,3,23,35,14,3,20,8,19,3,4,8,18,5,12,5,3,17,8,32,13,33,10,20,7,5,16,16,17,16,2,7,13,14,17,6,5,16,11,9,5,16,7,9,18,6,12,14,26,3,8,2,14,9,23,6,1,7,8,4,29,14,2,8,18,7,9,15,9,16,5,12,12,16,23,24,23,45,10,5,14,9,12,9,9,9,7,41,4,13,14,18,2
SIMGENE0125,4,6,3,2,8,2,2,6,4,16,8,4,13,6,4,5,9,7,8,7,6,11,5,10,9,3,18,3,11,15,7,3,8,8,3,8,3,30,4,12,4,9,6,2,5,2,2,2,2,1,12,5,2,2,4,12,7,2,3,4,5,28,3,14,1,10,4,5,2,2,6,5,7,3,6,2,2,4,6,4,1,4,4,0,5,1,3,2,5,9,3,11,5,5,5,4,10,1,3,2,3,15,4,5,13,13,2,2,15,5,7,7,3,5,10,12,6,5,2,9
SIMGENE0126,3,6,11,1,7,0,5,1,10,11,9,1,4,4,5,9,10,10,9,6,2,0,1,17,26,8,7,11,13,11,6,11,11,9,3,3,18,2,5,6,7,20,8,2,7,7,7,9,12,6,8,7,5,9,6,3,11,5,10,2,6,14,14,9,20,5,27,6,12,4,5,8,1,6,10,10,9,10,0,2,9,5,1,11,13,4,6,18,16,2,5,4,14,4,2,1,3,9,2,5,4,16,5,16,1,2,4,14,7,1,1,9,6,7,5,2,0,1,2,4
SIMGENE0127,6,1,2,1,2,0,1,3,1,2,3,1,1,3,2,1,0,0,1,1,2,2,2,2,2,1,2,1,1,2,0,2,3,1,3,1,4,3,4,2,0,0,1,0,2,0,1,1,0,1,1,1,1,0,2,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,3,1,6,1,2,1,1,1,0,1,1,0,4,2,1,3,3,2,2,1,1,2,1,1,1,2,1,1,3,2,3,3,1,2,1,5,1,2,1,2,2,5,3,1,1,1,1,3,1,3
SIMGENE0128,0,0,1,0,2,1,1,2,1,1,1,2,3,3,1,1,1,2,2,1,2,1,0,3,1,0,3,2,1,1,1,0,2,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,0,1,1,0,2,1,1,0,2,3,1,1,0,1,0,0,0,0,1,3,1,0,1,1,0,1,0,1,0,1,2,1,1,1,1,1,2,2,1,2,1,1,1,3,1,1,2,1,0,2,1,1,1,1,2,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0
SIMGENE0129,7,5,3,2,3,2,1,6,4,4,3,1,2,3,1,1,7,4,4,1,3,11,3,5,4,4,15,3,1,1,15,18,2,4,5,9,8,5,8,3,4,5,7,4,5,1,4,8,10,2,9,2,10,3,3,4,18,5,26,6,3,3,14,3,2,7,3,5,4,0,1,6,12,8,10,7,1,2,12,3,1,14,10,2,11,3,6,3,11,5,11,17,19,6,3,2,2,14,4,3,13,6,6,0,4,3,5,10,4,3,6,8,6,0,9,15,4,7,3,7
SIMGENE0130,18,15,31,5,27,5,25,19,3,18,19,14,36,5,21,26,19,19,20,8,10,5,10,9,8,27,5,12,6,30,7,16,10,17,13,5,1,7,14,19,9,2,10,9,23,8,19,10,15,6,12,9,8,20,12,23,21,14,12,9,13,1,8,5,3,7,15,43,8,6,5,13,9,4,7,2,12,6,9,14,39,4,5,3,9,16,11,2,7,14,11,1,2,16,16,25,8,22,7,13,3,7,5,29,2,8,15,25,9,4,14,14,13,20,12,9,31,15,19,16
SIMGENE0131,6,1,6,5,8,1,4,4,10,3,1,2,4,5,9,5,2,3,3,6,2,9,12,5,10,3,1,0,7,2,6,12,5,3,5,7,5,7,2,7,6,5,6,14,14,7,6,2,26,5,9,8,4,7,29,3,7,4,14,4,2,14,2,2,13,1,9,0,7,11,2,16,3,4,11,9,4,0,10,2,12,11,7,10,26,14,2,1,21,13,8,3,8,2,4,3,9,8,4,3,10,7,8,3,13,11,8,8,8,5,1,7,5,16,3,11,2,14,2,5
SIMGENE0132,4,2,1,2,1,2,0,1,1,2,1,1,1,0,1,3,1,1,1,2,1,1,1,1,1,6,1,2,1,0,2,1,1,2,1,2,4,0,0,0,3,1,1,2,2,1,3,2,0,1,1,2,1,1,1,2,1,3,4,0,1,3,3,1,1,0,1,1,2,2,2,1,3,2,1,0,4,2,1,1,4,1,2,2,0,2,1,2,0,1,2,2,2,2,4,3,2,4,1,0,0,1,0,2,1,1,1,0,1,1,0,1,0,0,2,0,1,1,1,1
SIMGENE0133,18,7,24,16,4,7,23,14,8,2,5,7,20,8,2,19,10,13,5,8,20,15,1,17,5,23,16,7,14,16,4,21,12,23,12,9,37,8,4,12,14,7,14,18,13,10,9,4,5,12,15,8,31,14,11,8,8,14,14,23,8,10,13,12,13,10,12,28,31,9,14,13,6,15,6,2,24,49,7,3,29,6,25,6,6,2,10,2,9,6,6,7,11,19,29,3,8,7,26,11,3,1,6,8,13,20,10,6,11,39,10,18,2,18,3,17,10,3,14,16
SIMGENE0134,3,11,4,10,3,10,2,1,9,14,8,3,4,3,23,5,9,3,4,8,2,2,5,7,4,3,7,9,12,19,2,5,4,4,6,7,5,7,3,8,5,4,9,3,2,4,12,5,12,2,2,1,3,3,4,7,3,4,5,6,5,8,11,3,14,9,7,13,3,4,5,12,13,4,5,3,13,6,1,2,4,5,5,11,3,0,6,2,5,4,2,2,2,0,2,6,3,5,6,1,3,4,1,2,7,4,2,1,3,1,3,3,5,6,2,5,11,3,3,5
SIMGENE0135,3,8,11,8,27,9,7,12,9,12,6,9,26,11,12,14,10,3,10,4,6,0,14,19,12,7,6,11,11,3,13,17,13,7,3,18,17,12,11,6,3,5,6,12,1,9,5,15,5,15,9,9,12,7,6,17,5,13,7,4,22,14,7,18,25,11,3,5,14,12,4,13,6,16,6,8,11,3,9,1,14,14,8,6,22,9,3,25,6,8,6,10,4,12,5,9,32,3,37,2,3,16,8,2,17,4,13,18,14,40,3,22,15,6,11,9,18,4,4,14
SIMGENE0136,4,2,2,2,1,3,3,3,3,3,5,4,4,6,8,3,2,1,4,9,5,9,4,5,2,4,6,4,2,2,2,1,2,2,6,1,2,1,6,3,2,6,3,1,3,1,1,7,4,5,3,6,2,1,4,2,2,4,4,1,7,5,1,5,3,2,12,12,3,9,2,7,4,5,0,5,4,4,5,1,3,5,7,3,2,2,5,0,2,4,5,4,2,3,4,1,3,1,3,2,3,4,5,1,3,10,3,1,3,4,2,1,2,9,2,9,7,5,9,3
SIMGENE0137,8,10,10,37,3,13,15,17,25,14,18,3,38,27,13,21,4,27,10,9,4,6,2,29,10,2,5,7,3,4,6,10,4,6,6,3,1,4,3,6,4,9,8,12,13,2,6,17,10,15,8,8,17,5,7,15,11,7,25,11,3,8,10,4,18,18,18,18,14,9,26,14,5,22,5,18,12,3,2,8,22,2,4,19,3,5,39,4,13,12,12,14,4,5,5,17,19,22,7,10,18,19,19,3,4,6,12,4,20,19,1,39,7,12,4,33,1,21,16,16
SIMGENE0138,4,2,3,4,4,2,0,1,1,3,1,3,3,1,1,1,3,3,3,0,2,2,2,3,0,7,1,1,2,7,6,2,1,1,4,15,4,3,3,6,3,3,1,6,7,4,14,2,2,2,1,1,13,5,1,6,4,9,9,0,7,5,4,11,5,1,8,6,6,1,5,1,10,2,8,14,5,4,3,3,3,15,2,2,7,2,4,6,8,7,4,3,2,6,3,3,2,9,3,12,0,5,1,1,1,1,3,0,1,3,1,1,2,5,4,0,2,2,4,3
SIMGENE0139,1,3,1,4,4,2,2,4,2,9,2,3,4,5,3,12,9,4,3,21,5,11,10,4,12,3,2,2,17,10,8,1,5,1,3,11,3,1,3,4,28,3,30,8,10,15,12,16,6,3,18,15,12,12,6,29,5,5,19,15,2,1,11,14,9,13,13,4,2,9,7,4,10,4,3,1,14,5,1,3,2,3,9,5,7,6,23,4,13,21,6,6,8,17,6,7,6,8,6,3,8,1,2,9,6,3,8,5,5,16,7,7,7,3,11,6,4,0,8,2
SIMGENE0140,3,13,4,3,2,1,20,3,4,2,7,2,1,6,9,9,1,12,3,8,12,16,5,2,11,5,6,8,19,7,11,15,7,26,4,0,11,13,19,0,6,33,10,8,19,8,6,31,12,10,25,11,14,4,7,8,6,20,11,17,8,38,6,1,19,5,18,12,2,2,24,3,9,10,2,14,1,11,1,16,6,2,14,2,14,10,12,8,3,3,3,3,14,6,13,16,4,8,2,9,1,3,2,3,4,10,5,5,1,13,5,7,4,7,6,11,3,4,6,6
SIMGENE0141,4,8,12,2,14,7,13,6,17,6,8,12,10,10,5,8,58,12,25,6,18,26,2,18,51,25,24,19,4,10,4,27,15,6,25,12,6,9,10,20,11,5,12,15,8,8,24,8,11,3,11,15,10,17,12,12,6,1,19,1,9,17,13,21,8,11,19,4,24,12,10,14,32,10,8,23,4,13,8,2,5,12,17,12,11,3,3,4,5,9,10,6,7,6,6,18,8,12,9,6,29,10,10,15,6,5,21,8,19,15,5,8,7,30,14,23,15,1,10,14
SIMGENE0142,2,5,1,3,4,1,3,2,1,0,2,3,3,2,2,3,3,1,1,0,1,0,1,1,2,1,2,1,1,0,1,1,1,1,1,1,2,2,6,1,1,3,1,2,1,2,1,1,1,1,1,0,1,4,1,3,1,0,1,1,1,1,1,1,1,2,4,4,4,0,2,1,1,3,1,1,1,3,2,0,1,2,1,3,2,2,4,3,0,1,1,1,2,0,1,1,2,1,2,1,1,0,1,1,3,2,0,1,2,1,0,2,0,0,1,1,2,1,2,2
SIMGENE0143,19,6,4,2,9,14,4,9,8,24,7,1,5,15,20,7,2,4,7,4,5,2,24,1,11,23,3,10,6,15,12,15,19,3,3,6,10,17,16,4,9,25,4,30,8,10,11,44,11,22,12,4,0,20,12,3,3,1,9,11,10,2,19,7,16,12,45,11,44,3,4,1,11,24,15,4,13,37,17,11,6,23,4,8,6,46,9,18,15,8,19,12,5,4,8,8,16,2,10,3,11,1,7,15,5,9,15,3,43,7,3,4,8,8,1,3,14,13,10,8
SIMGENE0144,3,8,3,13,9,4,5,12,5,1,3,2,4,6,2,14,8,1,13,2,1,1,5,5,3,5,1,5,4,4,2,6,1,5,7,1,3,1,4,4,8,3,3,9,2,8,8,3,14,2,3,5,14,8,3,5,3,8,16,3,8,3,5,3,4,4,5,2,2,6,2,2,1,7,10,0,6,7,11,0,15,3,3,5,3,9,1,4,4,1,6,6,3,2,5,9,3,3,1,5,3,5,6,1,6,2,4,7,3,1,7,5,2,2,2,2,0,3,3,3
SIMGENE0145,4,5,13,2,22,3,4,7,11,4,5,3,5,6,6,9,18,17,7,7,1,4,7,14,6,7,4,9,10,11,8,11,0,5,33,7,10,8,35,4,7,7,6,6,7,6,5,5,3,14,6,11,5,4,4,3,7,5,6,0,2,10,2,1,2,9,8,7,6,3,9,5,14,3,8,2,8,5,3,5,1,11,7,7,2,6,5,8,4,1,4,3,6,7,9,2,4,10,4,7,7,4,8,2,23,4,3,13,7,4,3,6,3,5,3,5,3,16,4,17
